IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.69,66.8,15.5,Aktif,Menengah,L,Ya,Tidak
3.71,82.4,8.1,Tidak Aktif,Tinggi,L,Ya,Tidak
3.95,84.6,20.6,Tidak Aktif,Rendah,P,Tidak,Tidak
2.75,85.7,11.5,Tidak Aktif,Tinggi,P,Tidak,Tidak
2.98,90.0,13.3,Tidak Aktif,Menengah,L,Tidak,Tidak
3.55,100.0,10.8,Aktif,Menengah,P,Tidak,Tidak
3.13,87.7,,Tidak Aktif,Rendah,L,Tidak,Tidak
3.3,100.0,17.3,Aktif,Menengah,L,Tidak,Tidak
3.2,62.6,8.3,Aktif,Rendah,P,Tidak,Tidak
3.02,82.1,10.4,Aktif,Menengah,L,Tidak,Tidak
3.28,75.0,8.5,Tidak Aktif,Rendah,L,Tidak,Tidak
3.12,92.1,3.4,Aktif,Menengah,P,Tidak,Tidak
2.6,,0.9,Aktif,Tinggi,P,Tidak,Tidak
2.71,87.2,8.8,Tidak Aktif,Menengah,L,Tidak,Tidak
3.26,75.4,17.4,Tidak Aktif,Rendah,L,Ya,Tidak
,92.1,11.8,Tidak Aktif,Rendah,P,Ya,Tidak
3.28,81.6,18.7,Tidak Aktif,Menengah,P,Tidak,Tidak
2.8,92.7,6.8,Aktif,Menengah,P,Tidak,Tidak
3.34,88.2,6.8,Tidak Aktif,Rendah,P,Ya,Tidak
3.1,92.7,8.3,Tidak Aktif,Menengah,L,Tidak,Tidak
3.05,87.5,7.1,Aktif,Tinggi,P,Tidak,Tidak
3.67,60.5,23.3,Tidak Aktif,Tinggi,P,Tidak,Ya
3.1,,10.1,Tidak Aktif,Menengah,L,Tidak,Tidak
3.04,75.0,,Aktif,Menengah,L,Tidak,Tidak
3.09,87.8,3.3,Tidak Aktif,Menengah,L,Tidak,Tidak
3.06,100.0,4.5,Aktif,Rendah,P,Tidak,Tidak
2.97,92.7,13.7,Aktif,Menengah,L,Tidak,Tidak
3.53,,9.4,Aktif,Menengah,P,Tidak,Tidak
2.87,73.9,0.0,Aktif,Rendah,P,Ya,Tidak
3.46,84.6,12.4,Aktif,Rendah,L,Tidak,Tidak
2.95,62.3,11.3,Aktif,Rendah,L,Ya,Tidak
